"标题","作者","机构","年份","期刊","摘要","关键词","参考文献","DOI"
"CHEMISTRY TEACHERS' KNOWLEDGE IN ASSESSING SCIENTIFIC INQUIRY COMPETENCE","Zhu, Y; Chi, SH; Wang, ZH","","","","Assessing scientific inquiry competence (SIC) is essential for fostering students' inquiry skills, and the effectiveness of such assessments largely depends on teachers' assessment knowledge. Grounded in a four-dimensional framework of science teacher assessment knowledge, this study developed and validated a scenario-based diagnostic instrument incorporating authentic video clips of inquiry-focused teaching situations. The instrument was administered to 146 novice chemistry teachers in China to examine their knowledge of assessing SIC. Results showed that teachers demonstrated relatively strong knowledge of assessment content but had only moderate awareness of assessment purposes and limited knowledge to apply appropriate assessment strategies and interpret evidence. These findings highlight significant gaps in teachers' assessment knowledge of SIC, especially in integrating multiple dimensions of assessment in practice. The study underscores the need for targeted professional development to enhance teachers' assessment literacy and support effective inquiry-based science teaching, particularly in discipline-specific contexts such as chemistry.","chemistry teachers; mixed-methods research; scientific inquiry competence; assessment literacy","",""
"Conceptualizing translanguaging as sociomaterial intra-actions: materialization of language norms in a virtual EFL classroom in rural China","Wu, YJ","","","","In this article, translanguaging is understood as a sociomaterial process that unfolds as human-nonhuman intra-actions instead of human interactions. Using ethnographic approaches, I document some sociomaterial intra-actions in a virtual EFL classroom in rural China, which adhered to native-speakerism, monolingual ideologies, and traditional literacy pedagogy. I pay particular attention to how English language norms were materialized in this learning environment and how the materialization shaped my participant's translanguaging and learning process. I conclude the article by discussing how norm-resisting, sociomaterial-oriented translanguaging pedagogies might be situated in this context and beyond. 纠缠.?农村堂?记录纠缠.堂(Sic),.堂?.?.","Translanguaging; sociomaterial intra-actions; EFL classroom; rural China; English language norms","",""
"Sustainable intellectual capital as a roadmap to sustainability: a systematic literature review","Martínez-Falcó, J; Marco-Lajara, B; Zaragoza-Sáez, P; Seva-Larrosa, P; Ruiz-Fernández, L","","","","The research aims to analyse the evolution of scientific production on sustainable intellectual capital (SIC) and to identify the fundamental characteristics of this type of studies. To this end, a systematic review has been carried out, analysing a total of 32 articles from 2008 to 2021. The study shows a notable increase in the number of publications dealing with SIC in the last three years, with 71.87% of the research published in that period. In terms of the methodologies used, it is worth noting the existence of a greater number of studies that apply quantitative methodologies as opposed to qualitative ones. Regarding the sector, the selected studies have focused on the analysis of companies in the secondary sector, more specifically manufacturing companies. Moreover, these studies have been prominent in developing countries such as Taiwan, Thailand and China, with the case of Taiwan being particularly significant.","sustainable intellectual capital; SIC; systematic literature review; sustainability; sustainable intellectual capital-based view","",""
"Administrative decentralisation strategy and upgrading firm exports: empirical evidence from China's 'counties power expansion' reform","Liu, J; Zhu, SJ; Guo, Q","","","","The quality of exported products is a key indicator of a country's firms' international competitiveness. Using data from Chinese industrial firms and customs from 2000 to 2012, this paper examines the impact of the 'counties power expansion' reform on the quality of exported products. The findings indicate that as county-level governments gain broader administrative powers, they encounter increased pressure for economic growth, leading to two main outcomes: firstly, county-level governments intensify tax collection efforts on firms, increasing their burdens and prompting firms to focus more on increasing production investments rather than on product development, thereby reducing the proportion of new product output; secondly, these governments attract a large number of firms by improving the business environment, which boosts firms' operating revenue. While this stimulates firms to expand production scale, it fails to enhance the proportion of high-quality products. This phenomenon is particularly evident in non-state-owned enterprises, labour-intensive industries, and firms exporting to underdeveloped countries or regions. Additionally, the simultaneous decentralisation of administrative and fiscal powers is crucial for effectively stimulating county-level government support for upgrading firm exports.","'Counties power expansion' reform; administrative decentralisation; export product quality; tax burden pressure; market competition incentive; (sic)(sic)(sic)(sic)(sic)(sic); (sic)(sic)(sic)(sic); (sic)(sic)(sic)(sic)(sic)(sic); (sic)(sic)(sic)(sic); (sic)(sic)(sic)(sic)(sic)(sic); reforma de expansi & oacute;n del poder en los condados; descentralizaci & oacute;n administrativa; calidad de productos exportados; presi & oacute;n de la carga fiscal; incentivo de la competencia comercial; & Rcy;& iecy;& fcy;& ocy;& rcy;& mcy;& acy; & rcy;& acy;& scy;& shcy;& icy;& rcy;& iecy;& ncy;& icy;& yacy; & pcy;& ocy;& lcy;& ncy;& ocy;& mcy;& ocy;& chcy;& icy;& jcy; & ocy;& kcy;& rcy;& ucy;& gcy;& ocy;& vcy;; & Acy;& dcy;& mcy;& icy;& ncy;& icy;& scy;& tcy;& rcy;& acy;& tcy;& icy;& vcy;& ncy;& acy;& yacy; & dcy;& iecy;& tscy;& iecy;& ncy;& tcy;& rcy;& acy;& lcy;& icy;& zcy;& acy;& tscy;& icy;& yacy;; & Kcy;& acy;& chcy;& iecy;& scy;& tcy;& vcy;& ocy; & ecy;& kcy;& scy;& pcy;& ocy;& rcy;& tcy;& ncy;& ocy;& jcy; & pcy;& rcy;& ocy;& dcy;& ucy;& kcy;& tscy;& icy;& icy;; & Ncy;& acy;& lcy;& ocy;& gcy;& ocy;& vcy;& ocy;& iecy; & bcy;& rcy;& iecy;& mcy;& yacy;; & Scy;& tcy;& icy;& mcy;& ucy;& lcy;& icy;& rcy;& ocy;& vcy;& acy;& ncy;& icy;& iecy; & rcy;& ycy;& ncy;& ocy;& chcy;& ncy;& ocy;& jcy; & kcy;& ocy;& ncy;& kcy;& ucy;& rcy;& iecy;& ncy;& tscy;& icy;& icy;","",""
"Keverprazan Hydrochloride: First Approval","Kang, C","","","","Keverprazan hydrochloride (sic) is a potassium ion competitive acid blocker that is being developed by Jiangsu Carephar Pharmaceuticals for the treatment of acid-related disease. Keverprazan hydrochloride was recently approved in China for the treatment of adults with reflux oesophagitis or duodenal ulcer. This article summarizes the milestones in the development of keverprazan hydrochloride leading to this first approval for reflux oesophagitis and duodenal ulcer.","","",""
"Clinical efficacy of Angong Jiangya pill ((sic)(sic)(sic)(sic)(sic)) for grade 2 hypertension with liver-fire hyperactivity syndrome: a randomized, double-blind, placebo-controlled, multicenter trial","Lai, XL; Shang, JJ; Liu, HX; Hu, J; Li, X; Zhang, ZM; Xing, WL","","","","OBJECTIVE: To investigate the efficacy and safety of Angong Jiangya pill (AGJY, (sic)(sic)(sic)(sic)(sic)) in the treatment of grade 2 hypertension with liver-fire hyperactivity syndrome. METHODS: This multicenter, randomized, double-blind, placebo-controlled trial was conducted in eight medical institutions. Eligible patients with grade 2 hypertension were randomly allocated to receive AGJY or a placebo for 12 weeks. The primary outcome was the change in blood pressure (BP). The secondary outcomes were BP compliance rate, Traditional Chinese Medicine (TCM) symptoms, and Duchenne Hypertension Quality of Life Scale score. RESULTS: Data were analyzed for 117 participants in the AGJY group and 118 participants in the placebo group. After 12 weeks of treatment, AGJY compared with placebo resulted in a higher and significant reduction in systolic/diastolic BP (-15.58 +/- 10.16/-9.7 2 +/- 7.41 vs-8.13 +/- 8.28/-4.86 +/- 5.68 mm Hg, P < 0.0001, < 0.0001, respectively). BP compliance rate (31.86% vs 19.13%, P = 0.027) was significantly higher in the AGJY group than in the placebo group. The AGJY group showed a significant reduction in TCM symptom score compared with the placebo group (10.82 +/- 2.03 vs 7.83 +/- 1.24, P < 0.0001). Single TCM syndrome clinical control rates of the primary symptoms (dizziness, headache, and irritability) were superior in the AGJY group (71.95%, 94.62%, 72.53%, respectively) compared with the placebo group (48.39%, 68.00%, 30.52%, respectively). Scores on the Duchenne Hypertension Quality of Life Scale showed a significant increase in the AGJY group compared with the placebo group (30.65 +/- 21.06 vs 9.96 +/- 10.72, P = 0.000). No serious adverse events occurred. CONCLUSION: AGJY demonstrated efficacy in lowering BP, increasing the rate of BP compliance, and improving TCM symptoms and quality of life in patients with grade 2 hypertension liver-fire hyperactivity syndrome. However, further in-depth studies are required to determine the mechanism of TCM in treating hypertension. (c) 2025 JTCM. All rights reserved.","hypertension; multicenter study; randomized controlled trial; liver-fire hyperactivity syndrome; Angong Jiangya","",""
"New genera and new species of Hahniidae (Araneae) from China, Laos, Myanmar, and Vietnam","Chu, C; Lin, YJ; Li, SQ","","","","Four new genera and 11 new species of Hahniidae Bertkau, 1878 are described. The new genera are Goblinia Lin & Li, gen. nov., with the type species G. tiane Lin & Li, sp. nov. (male female) from Guangxi, China; Myahnia Lin & Li, gen. nov., with the type species M. kanpetlet Lin & Li, sp. nov. (male(sic) from Chin, Myanmar; Troglohnia Lin & Li, gen. nov., with the type species Tr. qiubei Lin & Li, sp. nov. (male female) from Yunnan, China and Typhlohnia Lin & Li, gen. nov., with the type species Ty. rongshui Lin & Li, sp. nov. (male female) from Guangxi, China. Seven additional new species are described: Tr. dafang Lin & Li, sp. nov. (male female) from Guizhou, China; Tr. shidian Lin & Li, sp. nov. (female) from Yunnan, China; Tr. wuding Lin & Li, sp. nov. (male female) from Yunnan, China; Ty. banlaksao Lin & Li, sp. nov. (female) from Bolikhamxay, Laos; Ty. kaiyang Lin & Li, sp. nov. (female) from Guizhou, China; Ty. sondoong Lin & Li, sp. nov. (male female) from Quang Binh, Vietnam and Ty. suiyang Lin & Li, sp. nov. (female) from Guizhou, China.","Comb-tailed spiders; diagnosis; endemic; Hahniinae; taxonomy","",""
"A New Perspective on the Cultural Interpretation of Jiangyong Nüshu in China","Yan, H","","","","Nushu, as a folk practice with gendered characteristics, is often included in discussions of Chinese female culture. This article contends that so-called 'gentlewomen' ((sic)offspring) were an important group that spread traditional Chinese Confucian culture among rural women in Jiangyong County, Hunan Province. Women's scripts and women's oral composition of texts opened up a channel between China's mainstream society and rural society, and between male-dominated society and female society, which undertook the function of providing rural education in Confucian culture and promoting the conscious acceptance of Confucianism by rural women.","","",""
"Carbon emission scenarios of China's power sector: Impact of controlling measures and carbon pricing mechanism","Liu, Q; Zheng, XQ; Zhao, XC; Chen, Y; Lugovoy, O","","","","The study constructs a low-carbon path analysis model of China's power sector based on TIMES model and presents a comparative analysis of carbon emissions under Reference, Low-Carbon and Enhanced Low-Carbon scenarios, and the main difference of the three scenarios is manifested by policy selection and policy strength. The conclusions are drawn as follows: (1) The peak of carbon emission in China's power sector will range from 4.0 GtCO(2) to 4.8 GtCO(2), which implies an increment of 0.5-1.3 billion or 14% -35% from the 2015 levels. (2) Introducing carbon price is an effective way to inhibit coal power and promote non-fossil fuels and Carbon Capture, Utilization and Storage applications (CCUS). The carbon emission reduction effects will gradually increase with carbon price. When the carbon price attains to CN(sic) 150 t(-1) CO2, the CO2 emission can decrease by 36% than that without carbon price. (3) CCUS is one of important contributing factor to reduce CO2 emission in power sector. Generally speaking, the development of non-fossil fuels and energy efficiency improvement are two main drivers for carbon mitigation, but once the carbon price reaches up to CN(sic) 106 t(-1) CO2, the CCUS will be required to equip with thermal power units and its contribution on carbon emission reduction will remarkably increase. When carbon price increases to CN(sic) 150 t(-1) CO2 in 2050, the application of CCUS will account for 44% of total emission reduction. (4) In the scenario with carbon price of CN(sic) 150 t(-1) CO2, power sector would be decarbonized significantly, and the CO2 intensity will be 0.22 kgCO(2) (kW h)(-1), but power sector is far from the goal that achieving net zero emission. In order to realize the long-term low greenhouse gas emission development goal that proposed by the Paris Agreement, more efforts are needed to be put to further reduce the carbon emission reduction of power sector. Based on the above scenario analysis, the study proposes four recommendations on the low-carbon development of China's power sector: (1) improve the energy efficiency proactively and optimize the energy structure of power sector gradually; (2) promote the low-carbon transition of power sector by using market-based mechanism like carbon emission trading scheme to internalize the external cost of carbon emission; (3) give more emphasis on and support to the CCUS application in power sector.","Power sector; TIMES model; Scenario analysis; Carbon peak; Carbon pricing; Policy recommendations","",""
"Mid-21st century ozone air quality and health burden in China under emissions scenarios and climate change","Westervelt, DM; Ma, CT; He, MZ; Fiore, AM; Kinney, PL; Kioumourtzoglou, MA; Wang, S; Xing, J; Ding, D; Correa, G","","","","Despite modest emissions reductions of air pollutants in recent years, China still suffers from poor air quality, and the outlook for future air quality in China is uncertain. We explore the impact of two disparate 2050 emissions scenarios relative to 2015 in the context of a changing climate with the Geophysical Fluid Dynamics Laboratory Atmospheric Model version 3 (GFDL-AM3) chemistry-climate model. We impose the same near-term climate change for both emission scenarios by setting global sea surface temperature (SST) and sea ice cover (SIC) to the average over 2010-2019 and 2046-2055, respectively, from a three-member ensemble of GFDL coupled climate model simulations under the RCP8.5 (Representative Concentration Pathway) scenario. By the 2050s, annual mean surface ozone increases throughout China by up to 8 ppbv from climate change alone (estimated by holding air pollutants at 2015 levels while setting SIC and SST to 2050 conditions in the model) and by 8-12 ppbv in a scenario in which emissions of ozone precursors nitrogen oxides (NOx) and anthropogenic volatile organic compounds (VOCs) increase by similar to 10%. In a scenario in which NOx and anthropogenic VOC emissions decline by 60%, annual mean surface ozone over China decreases by 16-20 ppbv in the 2050s relative to the 2010s. The ozone increase from climate change alone results in an additional 62 000 premature deaths in China as compared to 330 000 fewer premature deaths by the 2050s under a strong emissions mitigation scenario. In springtime over Southwestern China in the 2050s, the model projects 9-12 ppbv enhancements to surface ozone from the stratosphere (diagnosed with a model tracer) and from international anthropogenic emissions (diagnosed by differencing AM3 simulations with the same emissions within China but higher versus lower emissions in the rest of the world). Our findings highlight the effectiveness of emissions controls in reducing the health burden in China due to air pollution, and also the potential for climate change and rising global emissions to offset, at least partially, some of the ozone decreases attained with regional emission reductions in China.","ozone; climate change; China; health; model","",""
"Bringing Italian Literature to Chinese Audiences: An Analysis of Elena Ferrante's Neapolitan Novels on CCTV-10","Riva, NF","","","","In recent years, Elena Ferrante has gained significant popularity in the People's Republic of China, where her Neapolitan Novels resonate with Chinese readers for their deep exploration of intimate relationships, female friendship, identity, and the challenges of growing up in a rapidly changing environment. Reinforcing images of Italianness and fostering intercultural dialogue, Ferrante's novels continue to inspire book clubs, literary discussions, and cultural analyses, including on TV. On March 9, 2023, the Neapolitan Novels were featured on China Central Television (CCTV) in Reading (Dushu (sic)(sic)), a program of CCTV-10, the channel dedicated to science and education. Building on previous studies on the Chinese circulation and reception of the tetralogy, this paper adopts a qualitative, discourse-oriented approach to examine its TV-mediated interpretation. The analysis begins by exploring Ferrante's transnational reach and the Chinese dissemination of the Neapolitan Novels, and then outlines the role of cultural and educational programs on Chinese television before turning to the case study of Reading's episode on Ferrante. The exploration focuses on how the show presents the novels through an emotionally resonant lens, framing female friendship as a universally accessible and morally instructive theme. Particular attention is given to the visual and narrative strategies used to integrate Ferrante's tetralogy into China's cultural discourse. Through this case study, the paper aims to offer a deeper understanding of the popularization of the Neapolitan Novels in China, while contributing to broader debates on the role of national media in shaping the cultural positioning of foreign literature.","Elena Ferrante; Neapolitan Novels; mediation; China; CCTV-10","",""
"Dramatic loss of inorganic carbon by nitrogen-induced soil acidification in Chinese croplands","Raza, S; Miao, N; Wang, PZ; Ju, XT; Chen, ZJ; Zhou, JB; Kuzyakov, Y","","","","Intensive crop production systems worldwide, particularly in China, rely heavily on nitrogen (N) fertilization, but left more than 50% of fertilizer N in the environment. Nitrogen (over) fertilization and atmospheric N deposition induce soil acidification, which is neutralized by soil inorganic carbon (SIC; carbonates), and carbon dioxide (CO2) is released to the atmosphere. For the first time, the loss of SIC stocks in response to N-induced soil acidification was estimated for Chinese croplands from 1980 to 2020 and forecasts were made up to 2100. The SIC stocks in croplands in 1980 were 2.16 Pg C (16.3 Mg C/ha) in the upper 40 cm, 7% (0.15 Pg C; 1.1 Mg C/ha) of which were lost from 1980 to 2020. During these 40 years, 7 million ha of cropland has become carbonate free. Another 37% of the SIC stocks may be lost up to 2100 in China, leaving 30 million ha of cropland (37.8%) without carbonates if N fertilization follows the business-as-usual (BAU) scenario. Compared to the BAU scenario, the reduction in N input by 15%-30% after 2020 (scenarios S1 and S2) will decrease carbonate dissolution by 18%-41%. If N input remains constant as noted in 2020 (S3) or decreases by 1% annually (S4), a reduction of up to 52%-67% in carbonate dissolution is expected compared to the BAU scenario. The presence of CaCO3 in the soil is important for various processes including acidity buffering, aggregate formation and stabilization, organic matter stabilization, microbial and enzyme activities, nutrient cycling and availability, and water permeability and plant productivity. Therefore, optimizing N fertilization and improving N-use efficiency are important for decreasing SIC losses from acidification. N application should be strictly calculated based on crop demand, and any overfertilization should be avoided to prevent environmental problems and soil fertility decline associated with CaCO3 losses.","carbon sequestration; carbonate dissolution; CO2 efflux; pedogenic carbonates; soil acidification; soil inorganic carbon","",""
"Multiplicity, diversity and individualization behind shuttlecock play: Chinese sportsmen's masculinities in today's China","Tsang, LT","","","","With sport becoming increasingly mediatized in the global arena that further criss-crosses with the promotion of globalization and Western discourses surrounding manhood and identities, there has been, in contemporary China, a rise of alternate theorizations of masculinities that deviate from hegemonic masculine practices surrounding 'wen' ((sic)) and 'wu' ((sic)) as well as Maoist ideologies. While such accounts, focusing on demonstrating individuality and individualization, cultivating entrepreneurial spirit and possessing wealth, career success and conspicuous consumption, advocate for a greater understanding of masculinities that call for the diversity and fluidity of Chinese gender roles and male identities, there has also been a revival of traditional masculine ideologies associated with the Chinese Dream, a doctrine established and conveyed by President Xi Jinping, which seeks to highlight China's quest for modernization and national power while placing 'wu' masculine values and culture at the forefront of its agenda. Against such a backdrop, this article, drawing on interviews with and observations of male badminton athletes from Mainland Chinese provincial professional and university teams, argues that, in contemporary China, both traditional and newly emerged masculine values and endeavours are integral to the theorization of masculinities of Chinese men, which are contended to be multiple, pluralized and individualized. With a dearth of academic literature that focuses on the co-presence of and inter-relationships between traditional and new masculinities which are embodied by modern Chinese men, this paper contributes renewed theoretical insights into how the various forms of masculinities coexist, intermix and, ultimately, negotiate with one another to reconstruct Chinese contemporary masculinities, in line with the gender order and hierarchy so upheld within China.","masculinity; pluralization; individualization and gender relations","",""
"Jingjiao under the Lenses of Chinese Political Theology","Ken-pa, C","","","","Conflict between religion and state politics is a persistent phenomenon in human history. Hence it is not surprising that the propagation of Christianity often faces the challenge of political theology. When the Church of the East monk Aluoben reached China in 635 during the reign of Emperor Tang Taizong, he received the favorable invitation of the emperor to translate Christian sacred texts for the collections of Tang Imperial Library. This marks the beginning of Jingjiao ((sic)(sic)) mission in China. In historiographical sense, China has always been a political domineering society where the role of religion is subservient and secondary. A school of scholarship in Jingjiao studies holds that the fall of Jingjiao in China is the obvious result of its over-involvement in local politics. The flaw of such an assumption is the overlooking of the fact that in the Tang context, it is impossible for any religious establishments to avoid getting in touch with the Tang government. In the light of this notion, this article attempts to approach this issue from the perspective of political theology and argues that instead of over-involvement, it is rather the clashing of ideologies between the Jingjiao establishment and the ever-changing Tang court's policies towards foreigners and religious bodies that caused the downfall of Jingjiao Christianity in China. This article will posit its argument based on the analysis of the Chinese Jingjiao canonical texts, especially the Xian Stele, and takes this as a point of departure to observe the political dynamics between Jingjiao and Tang court. The finding of this paper does show that the intellectual history of Chinese Christianity is in a sense a comprehensive history of political theology.","Xian Stele; Jingjiao Christianity; Tang Dynasty; Political Theology; politics-religion relationship","",""
"The logics of atrocities: a local official and the small wars in Taiping China, 1851-1864","Guo, WT","","","","Using an autobiography written by a Qing local official, Duan Guangqing ((sic), 1798-1878), this article explores the personal experiences of local officials who developed ways of coping with atrocities, trauma, and various local affairs during the Taiping War (1851-1864). Contrary to studies that focus on large-scale combat operations in Taiping China, this essay adopts a decentered approach to explore the small-scale wars in which local officials and various actors strategized their actions and manipulated their relationships. This article argues that the strategies and actions of local figures during small-scale conflicts provide a vivid and decentered picture of Taiping China.","Taiping War; local officials; small wars; strategies; Duan Guangqing","",""
"Temporal and spatial changes in soil organic carbon and soil inorganic carbon stocks in the semi-arid area of northeast China","Wang, S; Zhuang, QL; Zhou, MY; Jin, XX; Yu, N; Yuan, T","","","","Soil organic carbon (SOC) and soil inorganic carbon (SIC) has important effects on soil physical, chemical and biological properties. They play an important role in coordinating the relationship between soil water and air, increasing soil water holding capacity and improving plant productivity. In this study, a boosted regression trees (BRT) model was developed to map the spatial distribution carbon stocks in the semi-arid region of Northeast China in 1990 and 2015. During the two periods, 10-fold cross-validation technology was used to test the performance and uncertainty of BRT model. In order to construct the model, 9 environmental variables (derived from climate, topography and biology) and 173 (1990) and 223 (2015) topsoil (0-30 cm) samples were used. The comparison between estimated and observed data shows that the RMSE of SOC and SIC stocks were 0.53 kgm(-2) and 0.19 kgm(-2) in 1990, and 0.65 kgm(-2) and 0.20 kgm(-2) in 2015, respectively. Elevation, normalized difference vegetation index, mean annual precipitation and Landsat band 3 were identifies as critical environmental factors for simulating the spatial distribution of SOC, accounting for 76.6 % and 70.3 % of the total relative importance in 1990 and 2015, respectively. Mean annual precipitation, mean annual temperature and topographic wetness index were the critical environmental factors for simulating the spatial variation of SIC during the two periods. Land use change also played an important role in the spatial variability of SOC and SIC stocks. In the past 25 years, soil carbon stocks decreased from 6.2 kg m(-2) in 1990 to 5.9 kg m(-2) in 2015. The spatial distribution pattern of SOC was high in northeastern area and low in southwestern area during the two periods, while the spatial distribution pattern of SIC was opposite to that of SOC stocks. The mapped soil carbon stock distribution is fundamental to future study of soil carbon cycle and regional carbon balance in semi-arid regions.","Soil organic carbon; Soil inorganic carbon; Digital soil mapping; Boosted regression trees","",""
"Humic acid plus manure increases the soil carbon pool by inhibiting salinity and alleviating the microbial resource limitation in saline soils","Song, JS; Zhang, HY; Chang, FD; Yu, R; Zhang, XQ; Wang, XQ; Wang, WN; Liu, JM; Zhou, J; Li, YY","","","","Fertilization strategies have been widely studied as an effective strategy to improve the structure and fertility of saline soils. However, the effect of the combination of different organic ameliorants on the soil carbon (C) pool is still not clear. We conducted a two-year field experiment to investigate the influences of organic ameliorants on soil organic C (SOC) and inorganic C (SIC) stocks, and enzymatic stoichiometry for both top and subsoil (i.e., 0-20 cm and 20-40 cm) in the semi-arid saline region of Western China. Compared to chemical fertilizer (CK) soils, the content and stock of total C and SOC at 0-40 cm soil layer under organic ameliorant (OM), humus acid plus OM (HA + OM), and biofertilizer plus OM (B + OM) were 9-40% higher, whilst the content and stock of SIC at 0-40 cm soil layer under HA + OM were 18% higher after two years. In addition, soil microorganisms were generally limited by phosphorus (P), and HA + OM reduced microbial P and nitrogen (N) limitations after two years application. Structural equation modeling showed that reduced microbial N and P limitation under HA + OM was mainly directly driven by the decrease in electrical conductivity (EC) content. Redundancy analysis and correlation analysis further confirmed that soil EC and microbial resource limitation were the main factors affecting soil C content. Furthermore, HA + OM promoted the positive regulation of SOC on SIC, which facilitated the formation of SIC content. The higher accumulation of SOC and SIC content under HA + OM were both beneficial to the enhancement of the total C stock in saline soil. Overall, our results provided an effective regime to improve the soil saline and microbial environments, and increase the potential for rapid enhancement of the C stock of saline soil in Northwest China.","Soil organic carbon; Soil inorganic carbon; Enzyme activities; Microbial resource limitation; Organic ameliorants; Saline soil","",""
"From Gem to Glass: Liuli's Long Transformation and the Remaking of Chinese Decorative Arts","Zheng, YY; Guo, GK","","","","This article traces the long transformation of liuli (sic)(sic) (Sanskrit vaid & umacr;rya) in China-from imported blue-green gemstones (typified by beryl) to man-made glass and, after the Song, to glazed architectural ceramics. Combining archaeological finds, textual and Buddhist sources, and mineralogical data, it argues that: (1) the wide circulation of Roman-South Asian glass imitations drove a dual shift in China, moving liuli from a natural gem to artificial glass; (2) Buddhist ritual and donation practices sacralized glass, integrating it into jewelry, vessels, and sacred spaces; and (3) this shift profoundly reshaped Chinese decorative arts, recasting color-and-light aesthetics and the material toolkit-from Han-Jin beadwork and containers, through Sui-Tang elite display, to the post-Song architectural palette epitomized by liuli tiles. The millennial journey of liuli shows how materials acquire new meanings through global exchange and local reinterpretation, and how man-made glass helped redefine Chinese decorative practice over the course of two thousand years.","liuli; material culture; semantic shift; transcultural exchange; Silk Roads trade; glass imitation; glazed ceramics; Chinese decorative arts","",""
"When feminists became 'extremists': A corpus-based study of representations of feminism on Weibo","Bao, K","","","","This article presents an analysis of the evolving representations of feminism on Weibo, China's foremost microblogging platform, employing a corpus-based methodology. The self-compiled corpus comprised 334,871 feminism-related posts from 2019 to 2022. Using the Sketch Engine corpus analysis tool, noun bigrams containing (sic)(sic) (feminism) were extracted, categorized, and compared to discern the portrayals and their transformations. The findings revealed a significant shift in feminism's depiction, with an increased emphasis on its radical and aggressive aspects, and a decline in its portrayal as a quest for female privilege. During this period, the perception of feminism as an emerging social movement expanded, and the distinction between various forms of feminism and feminists based on different attributes became more prevalent, resulting in a marginally reduced representation of them as a unified entity. This research enriches the existing literature by emphasizing the dynamic portrayals of feminism on China's social media and offering novel insights into its assessment.","Changing representation; Chinese social media; corpus linguistics; feminism; microblogging site; Weibo","",""
"Rethinking Two-Way Socialisation: Cultural Governance on Chinese Social Media Platforms","Yan, KR; Yang, Y","","","","During the initial outbreak of COVID-19 in China, Chinese netizens engaged in protracted entanglements with the state across major platforms. They called on the Wuhan ((sic)(sic), wuhan) government to be accountable for the rapid spread of the pandemic. Interestingly, this same group of netizens had sung praises to the Chinese Communist Party's tune and lauded the extraordinary achievements of the regime before the outbreak of COVID-19, during the seventieth anniversary of the country. In fewer than six months, the national binge spiralled into poignant criticisms. Against this backdrop, this paper investigates two questions: First, why was there a marked shift in opinions towards the state? Second, what discourse did netizens adopt when expressing their discontent? We argue that the shift is indicative of two-way socialisation in the party-state's legitimacy-building process. While netizens have bought into the official narratives of a celebratory event, they hold the state to the same standard when a crisis occurs.","COVID-19; China; cultural governance; socialisation; social media","",""
"Translational queer fandom under han-xu politics in China: A case study of the Wanwan subtitling group","Song, QJ","","","","Building on previous studies about non-confrontational activism among Chinese queer translation groups, this article explores the subtitling and social media practices of Wanwan, a Chinese lesbian-oriented fansubbing group, from a cultural-ideological perspective. It argues that Wanwan's practices can be better understood in the context of han-xu ( (sic)(sic) , reticent) politics, shaping a non-confrontational activist approach to fansubbing. This approach is manifested through diversified content that involves both queer and non-queer media resources, recontextualised translated subtitles, the creation of spaces for interactions, and the production of reflexive paratexts that refrain from overt criticism of cis-heteronormativity. The article contributes to an understanding of translational queer fandom in China by arguing that groups such as Wanwan not only foster a dedicated fan community and a by queers for queers world, but also bridge the communication gap between queer communities and cisheteronormative groups without exacerbating the cultural and ideological tensions that might otherwise set them apart.","translational queer fandom; Wanwan; queer activism; han-xu politics; fansubbing","",""
"Constituting institutional identity in political discourse: The use of the first-person plural pronoun in China's press conferences","Liu, RY","","","","The discursive construction of institutional identity concerns how speakers, through their verbal conduct, perform actions as incumbents of particular institutional roles. This can be accomplished through the first-person plural pronoun, a salient marker of the ongoing displays, expressions, and constructions of institutional identity. Drawing on the Chinese premier's press conferences, this study investigates how politicians, journalists, and interpreters constitute their institutional identities through their use of the first-person plural pronoun (English we; Mandarin (sic)(sic) women). Relying on qualitative analysis and bivariate analysis, this study shows that Chinese journalists and interpreters tend to constitute their identities as aligned with the Chinese authority. This stands in contrast to patterns identified in independent press systems, in which journalists confront politicians, and interpreters serve as impartial facilitators. The findings illustrate the bounded fluidity of identities in political discourse and provide insight into the workings of the political communication system in an authoritarian context. (Political discourse, identity, personal pronoun, press conference, journalistic norm, mass communication, interpreter-mediated interaction, China, authoritarianism)*","","",""
"Leveraging cross-Strait connections through social media influencers: Beijing's changing United Front tactics towards Taiwan","Lee, TM","","","","This article analyses Beijing's evolving Taiwan policy under Xi Jinping through a case study of Chung Ming-hsuan, a queer Taiwanese influencer and LGBTQ+ advocate, whose mainland visits have been recognized by Beijing as fostering cross-Strait harmony. Chung's transformation from a critic of the People's Republic of China to a figure promoting cross-Strait engagement provides an illustration of Beijing's changing approach to Taiwan. Central to this approach is the Chinese concept of 'heart-soul' ((sic)(sic)), which Beijing deploys to foster personal connections across the Taiwan Strait. This allows Beijing to strategically distinguish between what they term 'Taiwan independence diehards' and critics who remain open to dialogue and engagement. The analysis demonstrates how Beijing strategically leverages influencers such as Chung to project an image of openness and reframe cross-Strait relations as a domestic, emotionally driven matter. This approach prioritizes heartfelt exchanges and personal connections over traditional diplomatic and political negotiations.","cross-Strait relations; Taiwan policy; United Front work; tourism vlogging; LGBTQ plus politics","",""
